수집시각,순위,브랜드,상품명,위시수,가격
2026-08-26 20:59,1,한끼통살,[한끼통살] 닭가슴살 한달 식단패키지 30팩+(증정)보냉백,9339,45800
2026-08-26 20:59,2,푸드올로지,"[헬로키티 한정판/단독] 리유저블백&틴케이스 키링 증정, 엑스트라버진 올리브오일 캡슐 30포",6577,29900
2026-08-26 20:59,3,한끼통살,[한끼통살] 단백질 든든형 닭가슴살 21일 식단관리+(증정)현미크리스피 닭가슴살 오리지널 1개,2061,32900
2026-08-26 20:59,4,아일로,"2입 추가 증정 ""선물하기 1등 콜라겐"" 아일로 타입1 콜라겐 비오틴 앰플 28일분 오간자 에디션+ 앰플 2입 추가 증정",12870,65900
2026-08-26 20:59,5,그레인온,[그레인온] 골드 카무트 브랜드밀 효소 3개월(+선물포장) +9포 추가 +파로저당 견과류바 +파로저당 단백칩 증정,6970,45900
2026-08-26 20:59,6,익스트림,아르기닌 증정 남친 활력선물 대한민국 NO.1 김종국 트리플아르기닌 6200 (30포) + 아르기닌 추가 증정,4928,42900
2026-08-26 20:59,7,셀렉스,셀렉스 프로핏 맛있는 완전단백질 250ml 18팩 딸기초코/모카초콜릿/밀크바닐라/바나나 택1+베리오트바 2EA,3881,27900
2026-08-26 20:59,8,삼대오백,[운동선물/헬스] 삼대오백 모노 크레아틴 100서빙 운동 필수템 +키링증정,4761,17900
2026-08-26 20:59,9,CJ웰케어,편안한 밤 필수템 (열대야 대비)식물성 멜라토닌 1mg 구미 젤리 멜라메이트 1박스 (50구미) 수험생/직장인 선물,5921,18900
2026-08-26 20:59,10,삼대오백,[선물/운동]삼대오백 필수 아미노산 EAA 300g 헬스 직장인 수분보충,2485,27900
2026-08-26 20:59,11,랩노쉬,"BEST 프로틴모음 [랩노쉬] 프로틴 락커 12종 선물세트 (프로틴 드링크 퍼펙트, 단백쿠키, 단백 쿠키바)",542,20900
2026-08-26 20:59,12,CJ웰케어,편안한 밤 필수템 식물성 멜라토닌 1mg 구미 젤리 멜라메이트 1박스 (20구미) 수험생/직장인 선물,10071,9900
2026-08-26 20:59,13,삼대오백,[운동선물/헬스] 삼대오백 BCAA 오리지널 300g 1통 아미노산 수분 보충,6060,17900
2026-08-26 20:59,14,한끼통살,[한끼통살 소스+그릴드 맛보기 10팩] 통살/그릴드 닭가슴살 모음전,8396,25500
2026-08-26 20:59,15,오니스트,만족도100% [건강/부모님선물/생일추천] 오니스트 스페셜 기프트 에디션 / 트리플콜라겐 & 트리플샤인 중 택 1,8901,38900
2026-08-26 20:59,16,뉴트리디데이,"""이게 바로 찐! 초고함량"" 액상스틱 L-아르기닌 7000 3박스 [케이스 동봉]",1048,30900
2026-08-26 20:59,17,그레인온,[그레인온] 골드 카무트 브랜드밀효소G 3개월분+10포증정(총100포)+파로차진액스틱 14포 증정,1957,20900
2026-08-26 20:59,18,알디콤,[쇼핑백 증정/술자리 필수템] 알디콤A 숙취해소제 선물세트 (5포입 x 3개),3838,27500
2026-08-26 20:59,19,한끼통살,[한끼통살] 닭가슴살 실속 10팩세트(소스통살3+그릴드2+닭가슴살볼5),1832,20300
2026-08-26 20:59,20,익스트림,선물포장 응원 에너지선물 익스트림 김종국 트리플아르기닌 6200 (15포) + 선물 포장,1302,23900
2026-08-26 20:59,21,랩노쉬,27g고함량 프로틴 [랩노쉬] 프로틴드링크 퍼펙트 350ml 12개입 (초코/바나나/곡물/쿠키앤크림/메론/초당옥수수/카라멜),964,31900
2026-08-26 20:59,22,한끼통살,[한끼통살] 닭가슴살 2주 식단 패키지 14팩,1792,25900
2026-08-26 20:59,23,익스트림,아메리카노 증정 에너지 활력선물 [김종국 추천세트]익스트림 아르기닌정 (2개월분) & 밀크씨슬 플러스 (2개월분) + 쇼핑백 증정,22129,25900
2026-08-26 20:59,24,한끼통살,[한끼통살] 닭가슴살 순삭 10팩세트(소스통살5+닭가슴살볼5),6122,31500
2026-08-26 20:59,25,플라이밀,[보틀&쇼핑백]플라이밀 단백질 프로틴 식사대용 쉐이크 14종 1통,250,29900
2026-08-26 20:59,26,삼대오백,[헬스/운동]삼대오백 입문자패키지 BCAA+크레아틴+바이퍼 6캔 부스터 EAA 아르기닌 남친 선물,1190,34900
2026-08-26 20:59,27,한끼통살,적립쿠폰 증정 건강한 식단 [한끼통살]냉동고 쟁여템 패키지 (30개입)+적립쿠폰증정 (순한맛/매운맛/BEST맛),7305,50000
2026-08-26 20:59,28,익스트림,텀블러 증정 러닝/등산 운동추천 익스트림 러닝 액티브 에너지젤 (14포) + 텀블러 증정,631,21000
2026-08-26 20:59,29,아일로,아일로 타입1 콜라겐 비오틴 앰플 14일분 오간자 에디션 (고급 오간자 패키징 + 선물용 쇼핑백),4915,34900
2026-08-26 20:59,30,타이거모닝,[좋은 아침 선물] 진저샷 미니보틀 8개입 (메시지 참 증정),329,29900
2026-08-26 20:59,31,뉴케어,1등 완전균형영양식 뉴케어 클래식 구수한맛/검은깨맛 200ml 16입(1BOX) 2종 택1,368,32900
2026-08-26 20:59,32,랩노쉬,고단백 식단간식 [랩노쉬] 단백쿠키 10개입 (5종혼합/더블초코/피넛버터/아몬드앤그린티/리치코코넛),13552,11900
2026-08-26 20:59,33,셀렉스,셀렉스 프로핏 맛있는 완전단백질 250ml 36팩 딸기초코/모카초콜릿/밀크바닐라/바나나+베리오트바 2입,717,50900
2026-08-26 20:59,34,플라이밀,플라이밀 단백질쉐이크파우치 9가지맛 1세트 + 쇼핑백증정,2446,31500
2026-08-26 20:59,35,프로티원,선물세트+보틀증정 [단독/선물포장] 프로티원 단백질 쉐이크&보틀 쇼핑백세트(+메세지카드),2397,36900
2026-08-26 20:59,36,다신샵,식사대용 프로틴 단백질18g 고단백쉐이크 단백한끼 5종 5+5팩,2312,21900
2026-08-26 20:59,37,플라이밀,급찐급빠 플라이밀 단백질쉐이크파우치 스타터팩 6가지맛 총6포 + 쇼핑백증정,11940,22900
2026-08-26 20:59,38,한끼통살,부족함 없이 인기상품만 넣은 [한끼통살]닭가슴살 Non-stop 올인원 패키지 36팩+[증정]현미크리스피 닭가슴살 오리지널 1개,849,57900
2026-08-26 20:59,39,랩노쉬,"식단인 간식선물 [랩노쉬] 프로틴 스낵 바스켓, 총 13입 (프로틴 미니쿠키,단백 쿠키바,단백쿠키)",8358,20900
2026-08-26 20:59,40,익스트림,쉐이커 증정 운동하는 남친선물 익스트림 단백질 흡수극대화 초코맛 밸런스드 프로틴&류신 + 쉐이커 증정,1522,31900
2026-08-26 20:59,41,삼대오백,"""For 운동하는 헬스인"" 삼대오백 헬스부스터 [카페인 아르기닌]",2284,18900
2026-08-26 20:59,42,셀렉스,셀렉스 프로핏 100% WPI 프로틴 음료 330ml 12팩 초콜릿/코코넛/복숭아+베리오트바 2입,1891,27900
2026-08-26 20:59,43,푸드올로지,"[쇼핑백 증정] 굶지 않는 5일 비움 루틴, 지중해 오일만 클렌즈 (10회분)",2605,25000
2026-08-26 20:59,44,파티스마트,술자리 필수템 히말라야 숙취해소제 파티스마트 10개입 2박스 선물세트+[증정] 2개입 5박스+본품 립밤 2개,5465,26500
2026-08-26 20:59,45,허닭,BEST다모였닭 허닭 닭가슴살 다양하게 즐기기 20종 패키지,18122,27900
2026-08-26 20:59,46,랩노쉬,"맛있게 프로틴 충전 [단독구성] 랩노쉬 식단관리 패키지 (프로틴 쉐이크5+프로틴 미니쿠키2+프로틴 쿠키바2+프로틴 웨하스2), 총 11개입",41,24900
2026-08-26 20:59,47,플라이밀,"크런치토핑 플라이밀 단백질쉐이크파우치 7개입 1세트, 15가지맛 택1 + 쇼핑백증정",1128,24500
2026-08-26 20:59,48,알디콤,[쇼핑백 증정] 알디콤Plus 숙취해소제 5포입 3개,326,33200
2026-08-26 20:59,49,건강식품,"""단백질음료"" 테이크핏 맥스24G 250mL x 24입 4종(초코맛/고소한맛/바나나맛/호박고구마맛)",908,32900
